epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-23,83,CE,Itapajé,2306306,city,535,1015.66208,13,44,3,0.0822,52675,True,False
26,2020-06-23,83,CE,Itapipoca,2306405,city,1509,1166.53009,49,76,2,0.0504,129358,True,False
26,2020-06-23,68,CE,Itapiúna,2306504,city,125,613.28623,4,4,0,0.032,20382,True,False
26,2020-06-23,74,CE,Itarema,2306553,city,1106,2644.28824,18,17,0,0.0154,41826,True,False
26,2020-06-23,63,CE,Itatira,2306603,city,536,2476.09369,39,11,1,0.0205,21647,True,False
26,2020-06-23,65,CE,Jaguaretama,2306702,city,81,445.98612,11,2,0,0.0247,18162,True,False
26,2020-06-23,59,CE,Jaguaribara,2306801,city,111,973.59881,8,1,0,0.009,11401,True,False
26,2020-06-23,83,CE,Jaguaribe,2306900,city,196,565.13465,8,11,0,0.0561,34682,True,False
26,2020-06-23,67,CE,Jaguaruana,2307007,city,214,634.92063,18,5,0,0.0234,33705,True,False
26,2020-06-23,66,CE,Jardim,2307106,city,30,110.39965,11,2,0,0.0667,27174,True,False
26,2020-06-23,37,CE,Jati,2307205,city,10,123.28936,2,1,0,0.1,8111,True,False
26,2020-06-23,48,CE,Jijoca de Jericoacoara,2307254,city,215,1084.98183,10,5,0,0.0233,19816,True,False
26,2020-06-23,96,CE,Juazeiro do Norte,2307304,city,1275,464.97719,85,67,9,0.0525,274207,True,False
26,2020-06-23,70,CE,Jucás,2307403,city,37,148.99529,3,2,0,0.0541,24833,True,False
26,2020-06-23,79,CE,Lavras da Mangabeira,2307502,city,48,152.34226,4,2,0,0.0417,31508,True,False
26,2020-06-23,80,CE,Limoeiro do Norte,2307601,city,525,881.76016,51,16,0,0.0305,59540,True,False
26,2020-06-23,57,CE,Madalena,2307635,city,158,802.39703,9,9,0,0.057,19691,True,False
26,2020-06-23,87,CE,Maracanaú,2307650,city,3232,1418.25299,79,203,4,0.0628,227886,True,False
26,2020-06-23,89,CE,Maranguape,2307700,city,1420,1100.96295,63,85,8,0.0599,128978,True,False
26,2020-06-23,60,CE,Marco,2307809,city,142,518.98688,10,7,0,0.0493,27361,True,False
26,2020-06-23,59,CE,Martinópole,2307908,city,41,364.99599,8,2,0,0.0488,11233,True,False
26,2020-06-23,70,CE,Massapê,2308005,city,671,1732.19403,37,35,5,0.0522,38737,True,False
26,2020-06-23,92,CE,Mauriti,2308104,city,190,396.14695,24,7,0,0.0368,47962,True,False
26,2020-06-23,56,CE,Meruoca,2308203,city,223,1481.03872,2,9,2,0.0404,15057,True,False
26,2020-06-23,66,CE,Milagres,2308302,city,36,130.85199,1,2,0,0.0556,27512,True,False
26,2020-06-23,55,CE,Milhã,2308351,city,87,661.3455,5,3,0,0.0345,13155,True,False
26,2020-06-23,59,CE,Miraíma,2308377,city,246,1780.28658,70,6,0,0.0244,13818,True,False
26,2020-06-23,58,CE,Missão Velha,2308401,city,128,361.65343,22,2,0,0.0156,35393,True,False
26,2020-06-23,77,CE,Mombaça,2308500,city,287,655.29602,50,17,2,0.0592,43797,True,False
